observer,real_thief,victim,time_testimony,time_crime,place_observer,place_theft,vision_perturb,observed_thief,memory_perturb,memorized_thief,veracity_perturb,testified_thief,run
5.0,"(2, 1, 2)",4.0,80.0,21.0,"(35, 29)","(29, 14)",False,"(2, 1, 2)",True,"(2, 1, 1)",True,"(2, 1, 0)",47
6.0,"(2, 1, 2)",4.0,80.0,21.0,"(6, 24)","(29, 14)",False,"(2, 1, 2)",False,"(2, 1, 2)",True,"(2, 1, 2)",47
7.0,"(2, 1, 2)",6.0,80.0,26.0,"(40, 22)","(25, 17)",False,"(2, 1, 2)",True,"(2, 1, 2)",False,"(2, 1, 2)",47
0.0,"(2, 0, 1)",2.0,80.0,35.0,"(13, 28)","(34, 25)",False,"(2, 0, 1)",True,"(1, 0, 1)",False,"(1, 0, 1)",47
3.0,"(1, 2, 1)",0.0,80.0,14.0,"(22, 3)","(24, 33)",False,"(1, 2, 1)",False,"(1, 2, 1)",False,"(1, 2, 1)",48
3.0,"(2, 1, 2)",6.0,80.0,14.0,"(22, 3)","(24, 33)",False,"(2, 1, 2)",False,"(2, 1, 2)",False,"(2, 1, 2)",48
1.0,"(2, 1, 2)",7.0,80.0,19.0,"(24, 19)","(27, 33)",False,"(2, 1, 2)",True,"(2, 1, 2)",True,"(2, 1, 2)",48
5.0,"(2, 1, 2)",7.0,80.0,19.0,"(25, 34)","(27, 33)",False,"(2, 1, 2)",False,"(2, 1, 2)",False,"(2, 1, 2)",48
9.0,"(2, 1, 2)",7.0,80.0,19.0,"(21, 0)","(27, 33)",False,"(2, 1, 2)",False,"(2, 1, 2)",False,"(2, 1, 2)",48
9.0,"(2, 1, 2)",7.0,80.0,19.0,"(21, 0)","(27, 33)",True,"(1, 1, 2)",False,"(1, 1, 2)",False,"(1, 1, 2)",48
3.0,"(0, 1, 2)",4.0,80.0,21.0,"(22, 3)","(29, 33)",False,"(0, 1, 2)",True,"(0, 0, 2)",True,"(0, 0, 0)",48
5.0,"(0, 1, 2)",4.0,80.0,21.0,"(25, 34)","(29, 33)",False,"(0, 1, 2)",True,"(0, 0, 1)",False,"(0, 0, 1)",48
3.0,"(1, 0, 0)",2.0,80.0,38.0,"(22, 3)","(45, 19)",False,"(1, 0, 0)",True,"(2, 2, 0)",False,"(2, 2, 0)",48
5.0,"(1, 2, 0)",8.0,80.0,62.0,"(25, 34)","(39, 16)",False,"(1, 2, 0)",False,"(1, 2, 0)",True,"(1, 0, 1)",48
0.0,"(2, 0, 2)",8.0,80.0,47.0,"(37, 21)","(22, 4)",False,"(2, 0, 2)",True,"(2, 2, 2)",True,"(2, 2, 0)",49
7.0,"(2, 0, 2)",8.0,80.0,47.0,"(34, 20)","(22, 4)",False,"(2, 0, 2)",False,"(2, 0, 2)",False,"(2, 0, 2)",49
